adult,militaryContract,coal,socialPercentile,furLeather,environmentPercentile,socialScore,esgPerformance,environmentScore,totalEsg,governanceScore,gmo,catholic,controversialWeapons,nuclear,animalTesting,peerCount,highestControversy,peerGroup,percentile,gambling,alcoholic,governancePercentile,pesticides,palmOil,tobacco,smallArms,Stock Ticker,Sector
False,False,False,,False,,4.85,UNDER_PERF,3.07,11.45,3.52,False,False,False,False,False,57,2,Retailing,3.53,False,False,,False,False,False,False,HD,Consumer Discretionary,Home Depot
False,False,False,,False,,10.92,UNDER_PERF,1.31,19.18,6.95,False,False,False,False,False,105,2,Software & Services,21.36,False,False,,False,False,False,False,GPN,Information Technology,Global Payments
False,False,True,,False,,9.17,AVG_PERF,11.02,26.3,6.1,False,False,False,True,False,107,2,Utilities,47.36,False,False,,False,False,False,False,PNW,Utilities,Pinnacle West Capital
False,False,False,,False,,13.04,AVG_PERF,5.93,27.32,8.34,False,False,False,False,True,58,2,Healthcare,51.03,False,False,,False,False,False,False,DXCM,Health Care,DexCom
False,False,False,,False,,10.35,UNDER_PERF,1.93,19.94,7.66,False,False,False,False,False,105,1,Software & Services,23.77,False,False,,False,False,False,False,AKAM,Information Technology,Akamai Technologies
False,True,False,0,False,0,19.52,LEAD_PERF,8.48,34.88,6.87,False,False,True,False,True,22,3,Aerospace & Defense,76.91,False,False,0,False,False,False,True,GD,Industrials,General Dynamics
False,False,True,0,False,0,6.57,,12.63,23.7,4.5,False,False,False,True,False,107,2,Utilities,37.05,False,False,0,False,False,False,False,XEL,Utilities,Xcel Energy
False,False,False,0,False,0,5.3,LAG_PERF,6.41,15.87,4.16,False,True,False,False,False,19,2,Consumer Durables,11.85,False,False,0,False,False,False,False,NWL,Consumer Discretionary,Newell Brands
False,False,False,0,False,0,5.58,,15.86,29.4,7.96,False,False,False,False,True,77,2,Chemicals,59.06,False,False,0,False,False,False,False,ALB,Materials,Albemarle Corporation
False,False,False,0,False,0,3.6,LAG_PERF,1.22,11.4,6.58,False,True,False,False,True,83,3,Pharmaceuticals,3.49,False,False,0,False,False,False,False,ILMN,Health Care,Illumina
False,False,True,0,False,0,7.12,,13.41,25.56,5.03,False,False,False,True,False,107,2,Utilities,44.36,False,False,0,False,False,False,False,DTE,Utilities,DTE Energy
False,False,False,0,False,0,6.63,LAG_PERF,1.29,13.57,5.65,False,False,False,False,False,19,2,Textiles & Apparel,6.98,False,False,0,False,False,False,False,RL,Consumer Discretionary,Ralph Lauren Corporation
False,False,False,0,False,0,6.67,LAG_PERF,0.47,14.77,7.64,False,False,False,False,False,105,2,Software & Services,9.23,False,False,0,False,False,False,False,IBM,Information Technology,IBM
False,False,False,0,False,0,8.04,,9.14,21.34,4.16,False,False,False,False,False,45,3,Consumer Services,28.51,False,False,0,False,False,False,False,RCL,Consumer Discretionary,Royal Caribbean Group
False,False,True,0,False,0,8.95,LEAD_PERF,17.26,31.75,5.55,False,False,False,False,False,107,2,Utilities,67.25,False,False,0,False,False,False,False,NRG,Utilities,NRG Energy
False,False,False,0,False,0,7.18,LAG_PERF,0.58,13.06,5.3,False,False,False,False,False,83,1,Pharmaceuticals,5.93,False,False,0,False,False,False,False,MTD,Health Care,Mettler Toledo
False,False,False,0,False,0,10.52,LAG_PERF,0.97,16.5,5,False,False,False,False,False,105,2,Software & Services,13.54,False,False,0,False,False,False,False,INTU,Information Technology,Intuit
False,False,False,0,False,0,4.11,LAG_PERF,2.53,12.77,6.13,False,False,False,False,False,31,2,Semiconductors,5.4,False,False,0,False,False,False,False,NVDA,Information Technology,Nvidia
False,False,True,0,False,0,8.96,,13.01,28.24,6.27,False,False,False,True,False,107,2,Utilities,54.55,False,False,0,False,False,False,False,D,Utilities,Dominion Energy
False,False,False,,False,,13.61,OUT_PERF,11.28,30.18,5.29,False,False,False,False,False,46,2,Transportation,62.02,False,False,,False,False,False,False,UAL,Industrials,United Airlines
False,False,False,,False,,10.5,AVG_PERF,3.65,22.87,8.72,False,False,False,False,True,94,3,Food Products,34.15,False,False,,False,False,True,False,PM,Consumer Staples,Philip Morris International
False,False,False,,False,,9.56,AVG_PERF,10.54,25.02,4.91,False,False,False,False,False,94,3,Food Products,42.21,False,False,,False,False,False,False,HSY,Consumer Staples,The Hershey Company
False,False,True,,False,,7.54,AVG_PERF,13.85,27.06,5.67,False,False,False,True,False,107,2,Utilities,50.09,False,False,,False,False,False,False,NEE,Utilities,NextEra Energy
False,False,False,,False,,10.86,LEAD_PERF,22.42,43.22,9.95,False,False,False,False,True,66,3,Oil & Gas Producers,92.23,False,False,,False,False,False,False,CVX,Energy,Chevron Corporation
False,False,False,,False,,9.35,AVG_PERF,6.06,22.12,6.72,False,False,False,False,True,28,3,Household Products,31.27,False,False,,False,False,False,False,CL,Consumer Staples,Colgate-Palmolive
False,False,False,,False,,3.83,UNDER_PERF,3.2,12.31,5.28,False,False,False,False,False,108,0,Real Estate,4.71,False,False,,False,False,False,False,UDR,Real Estate,UDR
False,False,False,,False,,7.54,AVG_PERF,2.8,22.63,12.29,False,False,False,False,False,89,2,Diversified Financials,33.18,False,False,,False,False,False,False,AMP,Financials,Ameriprise Financial
False,False,False,,False,,12.3,AVG_PERF,1.49,20.69,6.9,False,True,False,False,True,83,2,Pharmaceuticals,26.42,False,False,,False,False,False,False,BIO,Health Care,Bio-Rad Laboratories
False,False,False,,False,,8.97,AVG_PERF,9.05,24.36,6.34,False,False,False,True,False,107,3,Utilities,39.67,False,False,,False,False,False,False,EXC,Utilities,Exelon
False,False,False,,False,,5.46,UNDER_PERF,4.04,14.25,4.75,False,False,False,False,False,108,0,Real Estate,8.34,False,False,,False,False,False,False,O,Real Estate,Realty Income Corporation
False,False,False,,False,,12.92,AVG_PERF,2.11,29.13,14.11,False,False,False,False,False,175,0,Banks,58.05,False,False,,False,False,False,False,SIVB,Financials,SVB Financial
False,False,False,,False,,10.43,UNDER_PERF,1.11,17.47,5.92,False,False,False,False,False,105,2,Software & Services,16.17,False,False,,False,False,False,False,CTSH,Information Technology,Cognizant Technology Solutions
False,False,False,,False,,12.39,OUT_PERF,14.31,37.23,10.53,False,False,False,False,False,94,4,Food Products,82.77,False,False,,False,False,False,False,TSN,Consumer Staples,Tyson Foods
False,False,False,,False,,3.46,UNDER_PERF,7.8,14.53,3.27,False,False,False,False,False,32,2,Commercial Services,8.84,False,False,,False,False,False,False,WM,Industrials,Waste Management
False,False,False,,False,,13.16,OUT_PERF,18.23,36.42,5.04,False,False,False,False,True,94,3,Food Products,81.21,False,False,,False,False,False,False,ADM,Consumer Staples,ADM
False,False,False,,False,,12.34,AVG_PERF,5.83,26.11,7.96,False,False,False,False,False,54,1,Machinery,46.63,False,False,,False,False,False,False,SWK,Industrials,Stanley Black & Decker
False,False,False,,False,,11.9,AVG_PERF,1.48,21.34,7.95,False,False,False,False,False,89,2,Diversified Financials,28.51,False,False,,False,False,False,False,STT,Financials,State Street Corporation
False,False,False,,False,,2.48,LAG_PERF,1.27,6.99,3.24,False,False,False,False,False,108,1,Real Estate,1.2,False,False,,False,False,False,False,CBRE,Real Estate,CBRE
False,False,False,,False,,4.2,UNDER_PERF,7.26,17.73,6.28,False,False,False,False,False,31,2,Semiconductors,16.99,False,False,,False,False,False,False,MU,Information Technology,Micron Technology
False,False,False,,False,,7.33,UNDER_PERF,1.05,17.37,8.99,False,False,False,False,False,97,2,Insurance,15.87,False,False,,False,False,False,False,PRU,Financials,Prudential Financial
False,False,False,,False,,12.19,UNDER_PERF,1.23,19.3,5.88,False,False,False,False,False,105,2,Software & Services,21.76,False,False,,False,False,False,False,FTNT,Information Technology,Fortinet
False,False,False,,False,,7.7,AVG_PERF,1.74,20.84,11.39,False,False,False,False,False,97,2,Insurance,26.9,False,False,,False,False,False,False,ALL,Financials,Allstate Corp
False,False,False,,False,,8.48,AVG_PERF,12.19,24.08,3.41,False,False,False,False,False,39,1,Refiners & Pipelines,38.55,False,False,,False,False,False,False,OKE,Energy,Oneok
False,False,False,,False,,9.33,UNDER_PERF,0.93,16.71,6.45,False,False,False,False,False,105,2,Software & Services,14.07,False,False,,False,False,False,False,EBAY,Consumer Discretionary,eBay
False,False,False,,False,,8.85,UNDER_PERF,2.86,19.39,7.69,False,False,False,False,True,58,2,Healthcare,21.99,False,False,,False,False,False,False,EW,Health Care,Edwards Lifesciences
False,False,False,,False,,4.15,UNDER_PERF,5.32,13.75,4.27,False,False,False,False,False,19,2,Consumer Durables,7.31,False,False,,False,False,False,False,MHK,Consumer Discretionary,Mohawk Industries
False,False,False,,False,,1.28,UNDER_PERF,5.94,10.81,3.59,False,False,False,False,False,77,1,Chemicals,2.86,False,False,,False,False,False,False,APD,Materials,Air Products & Chemicals
False,False,False,,False,,8.39,UNDER_PERF,1.41,15.73,5.94,False,False,False,False,False,105,1,Software & Services,11.53,False,False,,False,False,False,False,NOW,Information Technology,ServiceNow
False,False,False,,False,,2.92,UNDER_PERF,2.95,10.28,4.4,False,False,False,False,False,108,0,Real Estate,2.34,False,False,,False,False,False,False,AVB,Real Estate,AvalonBay Communities
False,False,False,,False,,10.54,AVG_PERF,1.96,20.34,7.84,False,False,False,False,False,175,2,Banks,25.23,False,False,,False,False,False,False,HBAN,Financials,Huntington Bancshares
False,False,False,,False,,7.57,UNDER_PERF,1.12,19.43,10.75,False,False,False,False,False,97,2,Insurance,22.15,False,False,,False,False,False,False,TRV,Financials,The Travelers Companies
False,False,False,,False,,2.86,UNDER_PERF,3.56,10.97,4.55,False,False,False,False,False,108,0,Real Estate,2.98,False,False,,False,False,False,False,REG,Real Estate,Regency Centers
False,False,False,,False,,8.21,UNDER_PERF,1.24,18.68,9.24,False,False,False,False,False,175,2,Banks,19.85,False,False,,False,False,False,False,FITB,Financials,Fifth Third Bancorp
False,False,False,,False,,9.51,OUT_PERF,14.92,32.93,8.5,False,False,False,False,False,31,0,Semiconductors,71.11,False,False,,False,False,False,False,SWKS,Information Technology,Skyworks Solutions
False,False,False,,False,,8.44,AVG_PERF,9.48,24.09,6.17,False,False,False,False,True,77,2,Chemicals,38.63,False,False,,False,False,False,False,ECL,Materials,Ecolab
False,False,False,,False,,12.71,AVG_PERF,4.62,22.79,5.45,False,False,False,False,False,105,0,Software & Services,33.8,False,False,,False,False,False,False,ROP,Industrials,Roper Technologies
False,False,False,,False,,1.93,UNDER_PERF,12.05,17.64,3.66,False,False,False,False,True,11,1,Containers & Packaging,16.64,False,False,,False,False,False,False,AVY,Materials,Avery Dennison
False,False,False,,False,,4.99,UNDER_PERF,0.16,10.26,5.11,False,False,False,False,True,55,2,Technology Hardware,2.33,False,False,,False,False,False,False,HPQ,Information Technology,HP
False,False,False,,False,,11.98,AVG_PERF,3.55,26.5,10.98,False,False,False,False,False,45,3,Consumer Services,48.04,True,False,,False,False,False,False,WYNN,Consumer Discretionary,Wynn Resorts
False,False,False,,False,,6.65,UNDER_PERF,0.68,17,9.66,False,False,False,False,False,97,1,Insurance,14.84,False,False,,False,False,False,False,PFG,Financials,Principal Financial Group
False,False,False,,False,,8.66,AVG_PERF,10.69,26.4,7.05,False,False,False,False,False,17,2,Traders & Distributors,47.67,False,False,,False,False,False,False,FAST,Industrials,Fastenal
False,False,True,,False,,8.57,AVG_PERF,14.49,27.72,4.65,False,False,False,True,False,107,2,Utilities,52.68,False,False,,False,False,False,False,DUK,Utilities,Duke Energy
False,False,False,,False,,6.45,UNDER_PERF,5.89,18.26,5.93,False,False,False,False,False,17,1,Traders & Distributors,18.57,False,False,,False,False,False,False,URI,Industrials,United Rentals
False,False,False,,False,,10.06,UNDER_PERF,2.55,19.76,7.15,False,False,False,False,False,105,3,Software & Services,23.22,False,False,,False,False,False,False,TWTR,Communication Services,Twitter
False,False,False,,False,,8.5,AVG_PERF,7.72,21.87,5.64,False,False,False,False,True,28,2,Household Products,30.36,False,False,,False,False,False,False,CLX,Consumer Staples,Clorox
False,False,False,,False,,7.12,AVG_PERF,3.6,20.74,10.02,False,False,False,False,True,58,0,Healthcare,26.54,False,False,,False,False,False,False,IDXX,Health Care,Idexx Laboratories
False,False,True,,False,,8.21,OUT_PERF,19.71,33.43,5.51,False,False,False,False,False,107,2,Utilities,72.6,False,False,,False,False,False,False,PPL,Utilities,PPL
False,False,False,,False,,8.34,UNDER_PERF,1.76,16.25,6.15,False,False,False,False,False,57,2,Retailing,12.8,False,False,,False,False,False,False,UAA,Consumer Discretionary,Under Armour (Class A)
False,False,False,,False,,14.89,OUT_PERF,11.29,32.39,6.21,False,False,False,False,False,46,2,Transportation,69.43,False,False,,False,False,False,False,LUV,Industrials,Southwest Airlines
False,False,False,,False,,9.19,AVG_PERF,7.45,20.25,3.61,False,False,False,False,False,46,3,Transportation,24.9,False,False,,False,False,False,False,CSX,Industrials,CSX
False,False,False,,False,,7.79,UNDER_PERF,0.5,14.47,6.18,False,False,False,False,False,105,2,Software & Services,8.69,False,False,,False,False,False,False,ORCL,Information Technology,Oracle
False,False,False,,False,,14.24,AVG_PERF,6.11,24.67,4.31,False,False,False,False,False,45,2,Consumer Services,40.93,False,False,,False,False,False,False,SBUX,Consumer Discretionary,Starbucks
False,False,False,,False,,5.41,UNDER_PERF,1.61,12.41,5.39,False,False,False,False,False,89,1,Diversified Financials,4.85,False,False,,False,False,False,False,MSCI,Financials,MSCI
False,False,False,,False,,9.4,UNDER_PERF,3.78,16.87,3.7,False,False,False,False,False,54,2,Machinery,14.53,False,False,,False,False,False,False,DE,Industrials,Deere & Co.
False,False,False,,False,,4.76,UNDER_PERF,7.13,16.91,5.02,False,False,False,False,False,31,0,Semiconductors,14.61,False,False,,False,False,False,False,KLAC,Information Technology,KLA Corporation
False,False,False,,False,,11.83,AVG_PERF,9.48,26.46,5.15,False,False,False,False,False,46,2,Transportation,47.89,False,False,,False,False,False,False,DAL,Industrials,Delta Air Lines
False,False,False,,False,,4.56,UNDER_PERF,1.81,11.93,5.56,False,False,False,False,False,89,2,Diversified Financials,4.12,False,False,,False,False,False,False,NDAQ,Financials,Nasdaq
False,False,False,,False,,10.54,OUT_PERF,18.5,34.5,5.45,False,False,False,False,False,27,4,Diversified Metals,75.88,False,False,,False,False,False,False,FCX,Materials,Freeport-McMoRan
