adult,militaryContract,coal,socialPercentile,furLeather,environmentPercentile,socialScore,esgPerformance,environmentScore,totalEsg,governanceScore,gmo,catholic,controversialWeapons,nuclear,animalTesting,peerCount,highestControversy,peerGroup,percentile,gambling,alcoholic,governancePercentile,pesticides,palmOil,tobacco,smallArms,Stock Ticker,Sector,Name
False,False,False,,False,,8.06,UNDER_PERF,0.46,13.75,5.23,False,False,False,False,False,106,3,Software & Services,7.4,False,False,,False,False,False,False,MSFT,Information Technology,Microsoft
False,False,False,,False,,12.14,AVG_PERF,9.43,25.22,3.65,False,False,False,False,False,46,2,Transportation,43.94,False,False,,False,False,False,False,UNP,Industrials,Union Pacific
False,False,False,,False,,7.86,UNDER_PERF,5.4,18.27,5.02,False,False,False,False,False,18,2,Consumer Durables,18.98,False,False,,False,False,False,False,GRMN,Consumer Discretionary,Garmin
False,False,False,,False,,9.33,AVG_PERF,9.53,24.53,5.67,False,False,False,False,False,9,2,Homebuilders,41.26,False,False,,False,False,False,False,LEN,Consumer Discretionary,Lennar
False,False,False,0,False,0,9.81,LAG_PERF,1.17,17.59,6.61,False,False,False,False,False,106,0,Software & Services,16.91,False,False,0,False,False,False,False,PAYX,Information Technology,Paychex
False,False,True,0,False,0,7.63,,15.74,29.05,5.69,False,False,False,True,False,108,2,Utilities,58.29,False,False,0,False,False,False,False,AEE,Utilities,Ameren Corp
False,False,False,0,False,0,12.44,LEAD_PERF,12.36,30.97,6.17,False,False,False,False,False,92,2,Food Products,65.45,False,False,0,False,False,False,False,SJM,Consumer Staples,JM Smucker
False,False,False,0,False,0,11.65,,4.4,21.12,5.07,False,False,False,False,False,45,2,Consumer Services,28.21,False,False,0,False,False,False,False,YUM,Consumer Discretionary,Yum! Brands
False,False,False,0,False,0,6.67,LAG_PERF,7,17.53,3.87,False,False,False,False,False,45,2,Consumer Services,16.72,False,False,0,False,False,False,False,HLT,Consumer Discretionary,Hilton Worldwide
False,False,False,0,False,0,3.94,LAG_PERF,2.49,11.68,5.24,False,False,False,False,False,25,1,Auto Components,3.93,False,False,0,False,False,False,False,APTV,Consumer Discretionary,Aptiv
False,False,False,0,False,0,5.3,,15.53,28.79,7.96,False,False,False,False,True,77,2,Chemicals,57.21,False,False,0,False,False,False,False,ALB,Materials,Albemarle Corporation
False,False,False,0,False,0,6,LAG_PERF,6.97,18.74,5.78,False,False,False,False,False,31,0,Semiconductors,20.37,False,False,0,False,False,False,False,TER,Information Technology,Teradyne
False,False,False,0,False,0,3.22,LAG_PERF,3.87,12.01,4.92,False,False,False,False,False,106,1,Real Estate,4.3,False,False,0,False,False,False,False,WELL,Real Estate,Welltower
False,False,True,0,False,0,6.85,,16.28,29.77,6.64,False,False,False,True,False,108,2,Utilities,61.08,False,False,0,False,False,False,False,ETR,Utilities,Entergy
False,False,False,0,False,0,5.76,,0.07,9.39,3.56,False,False,False,False,False,32,1,Commercial Services,1.96,False,False,0,False,False,False,False,RHI,Industrials,Robert Half International
False,False,False,0,False,0,12.48,LAG_PERF,0.15,19.16,6.52,False,False,False,False,False,106,4,Software & Services,21.79,False,False,0,False,False,False,False,ATVI,Communication Services,Activision Blizzard
False,True,False,0,False,0,16.23,LEAD_PERF,11.05,34.36,7.07,False,False,True,False,False,22,2,Aerospace & Defense,75.95,False,False,0,False,False,False,True,TXT,Industrials,Textron
False,False,False,0,False,0,10.54,,1.96,20.34,7.84,False,False,False,False,False,174,2,Banks,25.64,False,False,0,False,False,False,False,HBAN,Financials,Huntington Bancshares
False,False,False,0,False,0,11.35,,0.11,21.09,9.64,False,False,False,False,False,87,1,Diversified Financials,28.12,False,False,0,False,False,False,False,DFS,Financials,Discover Financial Services
False,False,True,0,False,0,6.57,,12.63,23.7,4.5,False,False,False,True,False,108,2,Utilities,37.89,False,False,0,False,False,False,False,XEL,Utilities,Xcel Energy
False,False,False,0,False,0,8.75,LEAD_PERF,14.83,30.96,7.38,False,False,False,False,False,31,1,Semiconductors,65.41,False,False,0,False,False,False,False,MCHP,Information Technology,Microchip Technology
False,False,False,0,False,0,11.36,,8.05,22.83,3.42,False,False,False,False,False,46,2,Transportation,34.61,False,False,0,False,False,False,False,NSC,Industrials,Norfolk Southern
False,False,False,0,False,0,8.83,LAG_PERF,0.13,17.36,8.4,False,False,False,False,False,39,1,Media,15.83,False,False,0,False,False,False,False,DISCA,Communication Services,Discovery (Series A)
False,False,False,0,False,0,13.34,,8.15,25.98,4.49,False,False,False,False,False,45,2,Consumer Services,47.07,False,False,0,False,False,False,False,DRI,Consumer Discretionary,Darden Restaurants
False,False,False,0,False,0,6.12,LAG_PERF,1.85,16.91,8.95,False,False,False,False,False,96,2,Insurance,14.81,False,False,0,False,False,False,False,LNC,Financials,Lincoln National
False,False,False,0,False,0,8.04,,9.14,21.34,4.16,False,False,False,False,False,45,3,Consumer Services,29.01,False,False,0,False,False,False,False,RCL,Consumer Discretionary,Royal Caribbean Group
False,False,False,0,False,0,14.29,LEAD_PERF,14.38,35.42,6.75,False,False,False,False,True,92,3,Food Products,79.39,False,False,0,False,False,False,False,KHC,Consumer Staples,Kraft Heinz
False,False,False,0,False,0,14.23,,0.11,21.84,7.5,False,False,False,False,False,58,2,Healthcare,30.72,False,False,0,False,False,False,False,CERN,Health Care,Cerner
False,False,False,0,False,0,13.54,,3.03,25.96,9.39,False,True,False,False,True,58,3,Healthcare,46.91,False,False,0,False,False,False,False,ABT,Health Care,Abbott Laboratories
False,False,False,0,False,0,7.53,LAG_PERF,1.23,13.87,5.11,False,False,False,False,False,19,2,Textiles & Apparel,7.66,False,False,0,False,False,False,False,TPR,Consumer Discretionary,Tapestry
False,False,False,0,False,0,13.58,LEAD_PERF,9.39,30.54,7.57,False,False,False,False,False,54,1,Machinery,63.97,False,False,0,False,False,False,False,SNA,Industrials,Snap-on
False,False,False,0,False,0,5.23,LAG_PERF,0.02,10.59,5.34,False,False,False,False,False,87,2,Diversified Financials,2.76,False,False,0,False,False,False,False,MCO,Financials,Moody's Corporation
False,False,False,0,False,0,15.4,LEAD_PERF,1.94,32.84,15.51,False,False,False,False,False,174,5,Banks,71.53,False,False,0,False,False,False,False,WFC,Financials,Wells Fargo
False,False,False,0,False,0,7.79,LAG_PERF,0.5,13.97,5.69,False,False,False,False,False,106,2,Software & Services,7.88,False,False,0,False,False,False,False,ORCL,Information Technology,Oracle
False,False,False,0,False,0,12.77,,2.2,26.16,11.19,False,False,False,False,False,174,1,Banks,47.67,False,False,0,False,False,False,False,MTB,Financials,M&T Bank
False,False,False,0,False,0,9.4,LAG_PERF,1.37,17.02,6.25,False,False,False,False,False,83,0,Pharmaceuticals,15.1,False,False,0,False,False,False,False,WAT,Health Care,Waters Corporation
False,False,False,0,False,0,8.65,LAG_PERF,0.34,15.33,6.34,False,True,False,False,True,83,1,Pharmaceuticals,10.59,False,False,0,False,False,False,False,A,Health Care,Agilent Technologies
False,False,False,0,False,0,8.16,LAG_PERF,4.8,19.05,6.09,False,False,False,False,False,108,2,Utilities,21.43,False,False,0,False,False,False,False,ES,Utilities,Eversource Energy
False,False,False,0,False,0,7.37,LAG_PERF,2.29,15.17,5.52,False,False,False,False,False,58,3,Healthcare,10.18,False,False,0,False,False,False,False,MCK,Health Care,McKesson Corporation
False,False,True,0,False,0,8.66,,14.53,28.94,5.74,False,False,False,True,False,108,2,Utilities,57.72,False,False,0,False,False,False,False,PEG,Utilities,Public Service Enterprise Group
False,False,False,0,False,0,3.86,LAG_PERF,3.89,13.14,5.38,False,False,False,False,False,106,0,Real Estate,6.22,False,False,0,False,False,False,False,KIM,Real Estate,Kimco Realty
False,False,False,0,False,0,15.64,,2.55,26.92,8.73,False,False,False,False,True,58,3,Healthcare,50.38,False,False,0,False,False,False,False,BAX,Health Care,Baxter International
False,False,False,0,False,0,8.67,,6.96,21.28,5.65,False,False,False,False,True,92,2,Food Products,28.79,False,True,0,False,False,False,False,TAP,Consumer Staples,Molson Coors Beverage Company
False,False,False,0,False,0,7.32,LAG_PERF,0.86,13.16,4.97,False,False,False,False,False,106,0,Software & Services,6.26,False,False,0,False,False,False,False,ANSS,Information Technology,Ansys
False,True,False,,False,,6.76,UNDER_PERF,5.37,17.77,5.65,False,False,False,False,False,19,1,Electrical Equipment,17.5,False,False,,False,False,False,False,ETN,Industrials,Eaton Corporation
False,False,False,,False,,5.73,AVG_PERF,10.39,22.82,6.71,False,False,False,False,True,77,2,Chemicals,34.57,False,False,,False,False,False,False,IFF,Materials,International Flavors & Fragrances
False,False,False,,False,,8.51,UNDER_PERF,1.13,15.18,5.54,False,False,False,False,False,57,3,Retailing,10.19,False,False,,False,False,False,False,GPS,Consumer Discretionary,Gap
False,False,False,,False,,3.29,UNDER_PERF,10.48,17.56,3.78,False,False,False,False,False,9,2,Paper & Forestry,16.77,False,False,,False,False,False,False,WY,Real Estate,Weyerhaeuser
False,False,False,,False,,10.25,AVG_PERF,1.62,21.67,9.81,False,False,False,False,False,38,3,Media,30.22,False,False,,False,False,False,False,DISH,Communication Services,Dish Network
False,False,False,0,False,0,5.59,LAG_PERF,2.14,13.48,5.76,False,False,False,False,True,58,2,Healthcare,6.88,False,False,0,False,False,False,False,HSIC,Health Care,Henry Schein
False,False,False,0,False,0,8.13,LEAD_PERF,20.39,36.25,7.73,False,False,False,False,False,66,1,Oil & Gas Producers,81.37,False,False,0,False,False,False,False,EOG,Energy,EOG Resources
False,False,False,0,False,0,9.17,,4.38,20.1,6.54,False,False,False,False,False,54,2,Machinery,24.72,False,False,0,False,False,False,False,ITW,Industrials,Illinois Tool Works
False,False,False,0,False,0,5.93,LAG_PERF,1.89,12.46,4.64,False,False,False,False,False,106,1,Software & Services,5.05,False,False,0,False,False,False,False,ADBE,Information Technology,Adobe
False,False,False,0,False,0,11.07,LAG_PERF,1.61,18.15,5.47,False,False,False,False,False,32,1,Commercial Services,18.6,False,False,0,False,False,False,False,CPRT,Industrials,Copart
False,False,False,0,False,0,12.31,,11.53,29.22,5.38,False,False,False,False,False,46,2,Transportation,59.03,False,False,0,False,False,False,False,AAL,Industrials,American Airlines Group
False,False,False,0,False,0,4.87,LAG_PERF,6.42,15.93,4.64,False,False,False,False,False,55,0,Technology Hardware,12.1,False,False,0,False,False,False,False,TEL,Information Technology,TE Connectivity
False,False,False,0,False,0,2.92,LAG_PERF,5.21,13.2,5.06,False,False,False,False,False,106,0,Real Estate,6.3,False,False,0,False,False,False,False,CCI,Real Estate,Crown Castle
False,False,False,0,False,0,6.8,LAG_PERF,1.09,13.18,5.28,False,False,False,False,False,19,2,Textiles & Apparel,6.28,False,False,0,False,False,False,False,RL,Consumer Discretionary,Ralph Lauren Corporation
False,False,False,0,False,0,5.9,LAG_PERF,1.51,12.17,4.75,False,False,False,False,True,58,3,Healthcare,4.53,False,False,0,False,False,False,False,CAH,Health Care,Cardinal Health
False,False,False,0,False,0,10.43,,9.62,23.26,3.2,False,False,False,False,False,39,2,Refiners & Pipelines,36.21,False,False,0,False,False,False,False,WMB,Energy,Williams Companies
False,False,False,0,False,0,6.5,LAG_PERF,1.6,15.6,7.51,False,False,False,False,False,174,2,Banks,11.36,False,False,0,False,False,False,False,RF,Financials,Regions Financial Corporation
False,False,False,0,False,0,6.01,,11.69,21.07,3.38,False,False,False,False,False,32,3,Commercial Services,28.08,False,False,0,False,False,False,False,RSG,Industrials,Republic Services
False,False,False,0,False,0,4.7,LAG_PERF,2.83,12.19,4.66,False,False,False,False,False,36,2,Food Retailers,4.55,False,False,0,False,False,False,False,SYY,Consumer Staples,Sysco
False,False,False,0,False,0,12.04,,4.93,23.68,6.72,False,False,False,False,False,68,2,Telecommunication Services,37.82,False,False,0,False,False,False,False,LUMN,Communication Services,Lumen Technologies
False,False,False,0,False,0,12.63,,2.39,22.66,7.63,False,False,False,False,True,58,3,Healthcare,33.87,False,False,0,False,False,False,False,MDT,Health Care,Medtronic
False,False,False,0,False,0,4.41,LAG_PERF,5.76,18.05,7.89,False,False,False,False,False,31,4,Semiconductors,18.31,False,False,0,False,False,False,False,QCOM,Information Technology,Qualcomm
False,False,False,0,False,0,7.35,LAG_PERF,1.06,13.13,4.73,False,False,False,False,False,106,0,Software & Services,6.21,False,False,0,False,False,False,False,CDNS,Information Technology,Cadence Design Systems
False,True,False,0,False,0,19.72,LEAD_PERF,7.08,34.68,7.87,False,False,True,False,False,22,4,Aerospace & Defense,76.89,False,False,0,False,False,False,False,BA,Industrials,Boeing
False,False,False,0,False,0,7.98,LAG_PERF,1.68,16.56,6.9,False,False,False,False,False,87,2,Diversified Financials,13.92,False,False,0,False,False,False,False,ICE,Financials,Intercontinental Exchange
False,False,False,0,False,0,14.42,,2.11,25.43,8.9,False,False,False,False,False,106,2,Software & Services,44.69,False,False,0,False,False,False,False,EXPE,Consumer Discretionary,Expedia Group
False,False,False,0,False,0,9.08,,13.1,27.76,5.58,False,False,False,False,False,108,1,Utilities,53.48,False,False,0,False,False,False,False,AWK,Utilities,American Water Works
False,False,False,0,False,0,9.61,,4.54,21.41,7.26,False,False,False,False,False,32,2,Commercial Services,29.25,False,False,0,False,False,False,False,CTAS,Industrials,Cintas Corporation
False,False,False,0,False,0,12.34,,10.13,29.47,7,False,False,False,False,False,54,2,Machinery,60.04,False,False,0,False,False,False,False,EMR,Industrials,Emerson Electric Company
False,True,False,0,False,0,7.74,,10.13,23.78,5.9,False,False,False,False,False,31,0,Semiconductors,38.15,False,False,0,False,False,False,False,ADI,Information Technology,Analog Devices
False,False,False,0,False,0,8.88,LAG_PERF,0.4,16.76,7.47,False,False,False,False,False,55,1,Technology Hardware,14.42,False,False,0,False,False,False,False,ANET,Information Technology,Arista Networks
False,False,False,0,False,0,10.35,LAG_PERF,1.93,19.63,7.35,False,False,False,False,False,106,1,Software & Services,23.32,False,False,0,False,False,False,False,AKAM,Information Technology,Akamai Technologies
False,False,True,0,False,0,10.29,,14.1,29.52,5.13,False,False,False,False,False,108,3,Utilities,60.22,False,False,0,False,False,False,False,NI,Utilities,NiSource
False,False,False,0,False,0,10.26,LAG_PERF,1.07,17.85,6.52,False,False,False,False,False,106,2,Software & Services,17.75,False,False,0,False,False,False,False,FLT,Information Technology,Fleetcor
False,False,False,0,False,0,14.8,LEAD_PERF,5.59,30.23,9.84,False,False,False,False,False,57,3,Retailing,62.96,False,False,0,False,False,False,False,AMZN,Consumer Discretionary,Amazon
False,False,False,0,False,0,8.97,,9.05,24.61,6.59,False,False,False,True,False,108,3,Utilities,41.53,False,False,0,False,False,False,False,EXC,Utilities,Exelon
False,False,False,0,False,0,13.73,,5.03,23.9,5.13,False,False,False,False,False,45,2,Consumer Services,38.62,False,False,0,False,False,False,False,CMG,Consumer Discretionary,Chipotle Mexican Grill
False,False,False,0,False,0,14.45,,4.12,24.55,5.98,False,False,False,False,False,45,3,Consumer Services,41.35,False,False,0,False,False,False,False,MCD,Consumer Discretionary,McDonald's
False,False,False,0,False,0,12.38,,3.36,26.46,10.71,False,False,False,False,True,58,1,Healthcare,48.8,False,False,0,False,False,False,False,RMD,Health Care,ResMed
False,False,False,0,False,0,3.74,LAG_PERF,5.5,14.51,5.27,False,False,False,False,False,106,1,Real Estate,8.83,False,False,0,False,False,False,False,MAA,Real Estate,Mid-America Apartments
False,False,False,0,False,0,13.62,,4.53,28.08,9.93,False,False,False,False,True,58,2,Healthcare,54.66,False,False,0,False,False,False,False,ZBH,Health Care,Zimmer Biomet
False,False,False,0,False,0,18.75,LEAD_PERF,3.33,30.9,8.82,False,True,False,False,False,58,3,Healthcare,65.18,False,False,0,False,False,False,False,UHS,Health Care,Universal Health Services
False,True,False,0,False,0,4.99,LAG_PERF,1.29,11.5,5.21,False,True,True,False,True,106,1,Software & Services,3.7,False,False,0,False,False,False,False,LDOS,Industrials,Leidos
False,False,False,0,False,0,8.92,LAG_PERF,3.88,18.3,5.51,False,False,False,False,False,68,3,Telecommunication Services,19.06,False,False,0,False,False,False,False,VZ,Communication Services,Verizon Communications
False,False,False,0,False,0,12.92,,2.11,29.13,14.11,False,False,False,False,False,174,0,Banks,58.56,False,False,0,False,False,False,False,SIVB,Financials,SVB Financial
False,False,False,0,False,0,9.98,,10.35,25.73,5.4,False,False,False,False,False,92,2,Food Products,45.9,False,True,0,False,False,False,False,STZ,Consumer Staples,Constellation Brands
